---,x,y
0,"10.000000","20.000000"
1,"10.020000","15.000000"
2,"10.040000","30.000000"
3,"10.060000","35.000000"
4,"10.080000","25.000000"
5,"10.100000","35.000000"
6,"10.120000","25.000000"
7,"10.140000","15.000000"
8,"10.160000","20.000000"
9,"10.180000","10.000000"
10,"10.200000","15.000000"
11,"10.220000","15.000000"
12,"10.240000","20.000000"
13,"10.260000","30.000000"
14,"10.280000","15.000000"
15,"10.300000","30.000000"
16,"10.320000","25.000000"
17,"10.340000","15.000000"
18,"10.360000","30.000000"
19,"10.380000","25.000000"
20,"10.400000","20.000000"
21,"10.420000","15.000000"
22,"10.440000","20.000000"
23,"10.460000","20.000000"
24,"10.480000","15.000000"
25,"10.500000","10.000000"
26,"10.520000","20.000000"
27,"10.540000","30.000000"
28,"10.560000","25.000000"
29,"10.580000","20.000000"
30,"10.600000","30.000000"
31,"10.620000","10.000000"
32,"10.640000","15.000000"
33,"10.660000","10.000000"
34,"10.680000","30.000000"
35,"10.700000","10.000000"
36,"10.720000","15.000000"
37,"10.740000","25.000000"
38,"10.760000","15.000000"
39,"10.780000","20.000000"
40,"10.800000","30.000000"
41,"10.820000","25.000000"
42,"10.840000","25.000000"
43,"10.860000","25.000000"
44,"10.880000","25.000000"
45,"10.900000","15.000000"
46,"10.920000","15.000000"
47,"10.940000","35.000000"
48,"10.960000","20.000000"
49,"10.980000","25.000000"
50,"11.000000","30.000000"
51,"11.020000","25.000000"
52,"11.040000","15.000000"
53,"11.060000","30.000000"
54,"11.080000","5.000000"
55,"11.100000","15.000000"
56,"11.120000","10.000000"
57,"11.140000","15.000000"
58,"11.160000","10.000000"
59,"11.180000","20.000000"
60,"11.200000","10.000000"
61,"11.220000","20.000000"
62,"11.240000","15.000000"
63,"11.260000","5.000000"
64,"11.280000","25.000000"
65,"11.300000","5.000000"
66,"11.320000","30.000000"
67,"11.340000","20.000000"
68,"11.360000","10.000000"
69,"11.380000","15.000000"
70,"11.400000","10.000000"
71,"11.420000","15.000000"
72,"11.440000","10.000000"
73,"11.460000","25.000000"
74,"11.480000","20.000000"
75,"11.500000","10.000000"
76,"11.520000","15.000000"
77,"11.540000","15.000000"
78,"11.560000","25.000000"
79,"11.580000","15.000000"
80,"11.600000","10.000000"
81,"11.620000","15.000000"
82,"11.640000","20.000000"
83,"11.660000","20.000000"
84,"11.680000","15.000000"
85,"11.700000","15.000000"
86,"11.720000","25.000000"
87,"11.740000","15.000000"
88,"11.760000","10.000000"
89,"11.780000","20.000000"
90,"11.800000","20.000000"
91,"11.820000","25.000000"
92,"11.840000","20.000000"
93,"11.860000","10.000000"
94,"11.880000","10.000000"
95,"11.900000","15.000000"
96,"11.920000","15.000000"
97,"11.940000","10.000000"
98,"11.960000","25.000000"
99,"11.980000","20.000000"
100,"12.000000","20.000000"
101,"12.020000","15.000000"
102,"12.040000","15.000000"
103,"12.060000","15.000000"
104,"12.080000","25.000000"
105,"12.100000","15.000000"
106,"12.120000","15.000000"
107,"12.140000","15.000000"
108,"12.160000","15.000000"
109,"12.180000","15.000000"
110,"12.200000","15.000000"
111,"12.220000","20.000000"
112,"12.240000","20.000000"
113,"12.260000","10.000000"
114,"12.280000","15.000000"
115,"12.300000","15.000000"
116,"12.320000","20.000000"
117,"12.340000","10.000000"
118,"12.360000","5.000000"
119,"12.380000","30.000000"
120,"12.400000","20.000000"
121,"12.420000","5.000000"
122,"12.440000","5.000000"
123,"12.460000","15.000000"
124,"12.480000","15.000000"
125,"12.500000","25.000000"
126,"12.520000","10.000000"
127,"12.540000","5.000000"
128,"12.560000","15.000000"
129,"12.580000","20.000000"
130,"12.600000","25.000000"
131,"12.620000","10.000000"
132,"12.640000","20.000000"
133,"12.660000","15.000000"
134,"12.680000","10.000000"
135,"12.700000","10.000000"
136,"12.720000","5.000000"
137,"12.740000","15.000000"
138,"12.760000","10.000000"
139,"12.780000","15.000000"
140,"12.800000","20.000000"
141,"12.820000","15.000000"
142,"12.840000","10.000000"
143,"12.860000","15.000000"
144,"12.880000","10.000000"
145,"12.900000","15.000000"
146,"12.920000","20.000000"
147,"12.940000","25.000000"
148,"12.960000","15.000000"
149,"12.980000","10.000000"
150,"13.000000","15.000000"
151,"13.020000","15.000000"
152,"13.040000","5.000000"
